Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Order,,,,2023-01-25 18:08:27,2023-01-25 18:19:47,11m - 19.216s,ERROR
,,,,,,,
Test Cases/Create Order/Dine In/Dine In - Dana,,,,2023-01-25 18:08:28,2023-01-25 18:11:35,3m - 7.121s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:08:28,2023-01-25 18:09:08,40.249s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:09:08,2023-01-25 18:09:10,1.983s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:09:10,2023-01-25 18:09:11,0.454s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:09:11,2023-01-25 18:09:12,1.159s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - DINE-IN""), 5)",,,,2023-01-25 18:09:12,2023-01-25 18:09:13,1.054s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:09:13,2023-01-25 18:09:16,2.546s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-25 18:09:16,2023-01-25 18:09:20,3.955s,PASSED
hideKeyboard(),,,,2023-01-25 18:09:20,2023-01-25 18:09:23,3.157s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-01-25 18:09:23,2023-01-25 18:09:28,5.079s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 0)",,,,2023-01-25 18:09:28,2023-01-25 18:09:28,0.342s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:28,2023-01-25 18:09:33,5.035s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-01-25 18:09:33,2023-01-25 18:09:34,1.108s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:34,2023-01-25 18:09:39,5.008s,PASSED
pressBack(),,,,2023-01-25 18:09:39,2023-01-25 18:09:40,0.437s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:09:40,2023-01-25 18:09:40,0.655s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:09:40,2023-01-25 18:09:41,0.705s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:41,2023-01-25 18:09:46,5.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:09:46,2023-01-25 18:09:47,1.111s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:09:47,2023-01-25 18:09:48,0.321s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:48,2023-01-25 18:09:53,5.011s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:09:53,2023-01-25 18:09:53,0.655s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:09:53,2023-01-25 18:09:54,0.290s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:54,2023-01-25 18:09:59,5.013s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:09:59,2023-01-25 18:09:59,0.186s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:09:59,2023-01-25 18:09:59,0.232s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:09:59,2023-01-25 18:10:04,5.014s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:10:04,2023-01-25 18:10:05,1.152s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:10:05,2023-01-25 18:10:06,0.845s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:10:06,2023-01-25 18:10:11,5.005s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 10)",,,,2023-01-25 18:10:11,2023-01-25 18:10:11,0.252s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 5)",,,,2023-01-25 18:10:11,2023-01-25 18:10:11,0.255s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:10:11,2023-01-25 18:10:16,5.009s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjutkan""), 5)",,,,2023-01-25 18:10:16,2023-01-25 18:10:17,0.253s,PASSED
