Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-02-01 16:53:19,2023-02-01 16:55:12,1m - 52.748s,PASSED
,,,,,,,
Test Cases/Login KFCKU Apps/Login Social Media,,,,2023-02-01 16:53:20,2023-02-01 16:54:27,1m - 6.758s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,Start application on current selected android device,,2023-02-01 16:53:20,2023-02-01 16:53:44,23.505s,PASSED
delay(10),,,,2023-02-01 16:53:44,2023-02-01 16:53:54,10.051s,PASSED
"tap(findTestObject(""Login/android.widget.TextView - Profil""), 0)",,,,2023-02-01 16:53:54,2023-02-01 16:53:55,1.363s,PASSED
"tap(findTestObject(""Login Social Media/android.widget.Button - Masuk dengan Google""), 0)",,,,2023-02-01 16:53:55,2023-02-01 16:53:58,2.903s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:53:58,2023-02-01 16:54:01,3.018s,PASSED
"tap(findTestObject(""Login Social Media/android.widget.TextView - jecsanmaychelgmail.com""), 0)",,,,2023-02-01 16:54:01,2023-02-01 16:54:02,0.632s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:54:02,2023-02-01 16:54:07,5.006s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:54:07,2023-02-01 16:54:12,5.017s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:54:12,2023-02-01 16:54:13,1.350s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:54:13,2023-02-01 16:54:16,3.008s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-02-01 16:54:16,2023-02-01 16:54:17,1.174s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:54:17,2023-02-01 16:54:20,3.003s,PASSED
"tap(findTestObject(""Profile/Perangkat/android.widget.TextView - Keluar""), 5)",,,,2023-02-01 16:54:20,2023-02-01 16:54:21,0.467s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:54:21,2023-02-01 16:54:24,3.016s,PASSED
"tap(findTestObject(""Profile/Perangkat/android.widget.TextView - Ya""), 5)",,,,2023-02-01 16:54:24,2023-02-01 16:54:25,1.262s,PASSED
closeApplication(),,,,2023-02-01 16:54:25,2023-02-01 16:54:27,1.412s,PASSED
,,,,,,,
Test Cases/Login KFCKU Apps/Login Phone Number,,,,2023-02-01 16:54:27,2023-02-01 16:55:12,45.531s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-02-01 16:54:27,2023-02-01 16:54:45,18.264s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:54:45,2023-02-01 16:54:50,5.011s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:54:50,2023-02-01 16:54:51,1.131s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Masukkan nomor handphone Anda""), ""081211287377"", 0)",,,,2023-02-01 16:54:51,2023-02-01 16:54:55,4.098s,PASSED
hideKeyboard(),,,,2023-02-01 16:54:55,2023-02-01 16:54:57,1.411s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Ketik kata sandi Anda""), ""pass123"", 0)",,,,2023-02-01 16:54:57,2023-02-01 16:54:59,2.149s,PASSED
hideKeyboard(),,,,2023-02-01 16:54:59,2023-02-01 16:55:00,1.276s,PASSED
"tap(findTestObject(""Login/android.widget.Button - Masuk""), 0)",,,,2023-02-01 16:55:00,2023-02-01 16:55:02,1.287s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-01 16:55:02,2023-02-01 16:55:07,5.010s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-01 16:55:07,2023-02-01 16:55:08,1.464s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-02-01 16:55:08,2023-02-01 16:55:11,3.007s,PASSED
closeApplication(),,,,2023-02-01 16:55:11,2023-02-01 16:55:12,1.006s,PASSED
