Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order Drive Thru,,,,2023-02-01 17:55:46,2023-02-01 17:59:21,3m - 35.290s,FAILED
,,,,,,,
Test Cases/Create Order/Drive Thru/Drive Thru - Dana,,,,2023-02-01 17:55:46,2023-02-01 17:58:58,3m - 11.572s,FAILED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-02-01 17:55:47,2023-02-01 17:56:09,22.812s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-02-01 17:56:09,2023-02-01 17:56:10,0.936s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-02-01 17:56:10,2023-02-01 17:56:12,1.814s,PASSED
"swipe(281, 600, 434, 90)",,,,2023-02-01 17:56:12,2023-02-01 17:56:13,1.143s,PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in to device_height variable,,2023-02-01 17:56:13,2023-02-01 17:56:14,0.137s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in to device_Width variable,,2023-02-01 17:56:14,2023-02-01 17:56:14,0.109s,PASSED
startY = device_Height / 2,,Storing the value in startY variable by dividing device height by 2 Because Y coordinates are constant,,2023-02-01 17:56:14,2023-02-01 17:56:14,0.003s,PASSED
endY = startY,,Here startY and endY values are equal for Horizontal Swiping for that assigning startX value to endX,,2023-02-01 17:56:14,2023-02-01 17:56:14,0.000s,PASSED
startX = device_Width * 0.30,,Storing the value in startX variable,,2023-02-01 17:56:14,2023-02-01 17:56:14,0.002s,PASSED
endX = device_Width * 0.70,,Storing the value in endX variable,,2023-02-01 17:56:14,2023-02-01 17:56:14,0.001s,PASSED
"swipe(endX, startY, startX, endY)",,Here Y constant for Swipe Horizontal Right to Left,,2023-02-01 17:56:14,2023-02-01 17:56:15,1.152s,PASSED
"waitForElementPresent(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 10)",,,,2023-02-01 17:56:15,2023-02-01 17:56:15,0.478s,PASSED
"tap(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 5)",,,,2023-02-01 17:56:15,2023-02-01 17:56:16,0.475s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.EditText - Cari Gerai KFC""), 5)",,,,2023-02-01 17:56:16,2023-02-01 17:56:21,5.539s,PASSED
