Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-02-17 14:22:27,2023-02-17 14:26:53,4m - 26.038s,FAILED
,,,,,,,
Test Cases/Login KFCKU Apps/Login Failed - Empty Phone Number and Password,,,,2023-02-17 14:22:28,2023-02-17 14:23:25,56.998s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-02-17 14:22:28,2023-02-17 14:22:57,29.120s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-17 14:22:57,2023-02-17 14:23:02,5.077s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-02-17 14:23:02,2023-02-17 14:23:06,3.301s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Masukkan nomor handphone Anda""), """", 0)",,,,2023-02-17 14:23:06,2023-02-17 14:23:09,3.275s,PASSED
hideKeyboard(),,,,2023-02-17 14:23:09,2023-02-17 14:23:10,0.875s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Ketik kata sandi Anda""), """", 0)",,,,2023-02-17 14:23:10,2023-02-17 14:23:11,1.448s,PASSED
hideKeyboard(),,,,2023-02-17 14:23:11,2023-02-17 14:23:12,0.841s,PASSED
"tap(findTestObject(""Login/android.widget.Button - Masuk""), 0)",,,,2023-02-17 14:23:12,2023-02-17 14:23:13,0.702s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-17 14:23:13,2023-02-17 14:23:18,5.009s,PASSED
"verifyElementVisible(findTestObject(""Login/Login Failed/android.widget.TextView - nullPhone""), 3)",,,,2023-02-17 14:23:18,2023-02-17 14:23:18,0.513s,PASSED
"verifyElementText(findTestObject(""Login/Login Failed/android.widget.TextView - nullPhone""), ""Mohon masukkan nomor handphone Anda"")",,,,2023-02-17 14:23:18,2023-02-17 14:23:19,0.446s,PASSED
"verifyElementVisible(findTestObject(""Login/Login Failed/android.widget.TextView - nullPass""), 3)",,,,2023-02-17 14:23:19,2023-02-17 14:23:19,0.518s,PASSED
"verifyElementText(findTestObject(""Login/Login Failed/android.widget.TextView - nullPass""), ""Masukkan kata sandi Anda yang benar"")",,,,2023-02-17 14:23:19,2023-02-17 14:23:20,0.422s,PASSED
