Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2023-04-05 17:04:23,2023-04-05 17:08:09,3m - 46.618s,PASSED
,,,,,,,
Test Cases/Staging/Login KFCKU Apps/Login Failed - Empty Phone Number and Password,,,,2023-04-05 17:04:23,2023-04-05 17:05:10,47.466s,PASSED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-04-05 17:04:23,2023-04-05 17:04:44,20.062s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-04-05 17:04:44,2023-04-05 17:04:49,5.061s,PASSED
"tap(findTestObject(""Profile/android.widget.TextView - Profil""), 5)",,,,2023-04-05 17:04:49,2023-04-05 17:04:50,1.448s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Masukkan nomor handphone Anda""), """", 0)",,,,2023-04-05 17:04:50,2023-04-05 17:04:54,4.016s,PASSED
hideKeyboard(),,,,2023-04-05 17:04:54,2023-04-05 17:04:55,1.344s,PASSED
"setText(findTestObject(""Login/android.widget.EditText - Ketik kata sandi Anda""), """", 0)",,,,2023-04-05 17:04:55,2023-04-05 17:04:57,1.908s,PASSED
hideKeyboard(),,,,2023-04-05 17:04:57,2023-04-05 17:04:59,1.316s,PASSED
"tap(findTestObject(""Login/android.widget.Button - Masuk""), 0)",,,,2023-04-05 17:04:59,2023-04-05 17:04:59,0.637s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-04-05 17:04:59,2023-04-05 17:05:04,5.004s,PASSED
"verifyElementVisible(findTestObject(""Login/Login Failed/android.widget.TextView - nullPhone""), 3)",,,,2023-04-05 17:05:04,2023-04-05 17:05:05,1.053s,PASSED
"verifyElementText(findTestObject(""Login/Login Failed/android.widget.TextView - nullPhone""), ""Mohon masukkan nomor handphone Anda"")",,,,2023-04-05 17:05:05,2023-04-05 17:05:06,0.330s,PASSED
"verifyElementVisible(findTestObject(""Login/Login Failed/android.widget.TextView - nullPass""), 3)",,,,2023-04-05 17:05:06,2023-04-05 17:05:06,0.305s,PASSED
"verifyElementText(findTestObject(""Login/Login Failed/android.widget.TextView - nullPass""), ""Masukkan kata sandi Anda yang benar"")",,,,2023-04-05 17:05:06,2023-04-05 17:05:06,0.311s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-04-05 17:05:06,2023-04-05 17:05:09,3.013s,PASSED
closeApplication(),,,,2023-04-05 17:05:09,2023-04-05 17:05:10,1.209s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-04-05 17:05:10,2023-04-05 17:05:10,0.025s,PASSED
,,,,,,,
