Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Profile,,,,2023-05-16 16:00:46,2023-05-16 16:07:05,6m - 19.402s,FAILED
,,,,,,,
Test Cases/Production/Profile/Personal Info/Change Password,,,,2023-05-16 16:00:46,2023-05-16 16:01:23,36.620s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:00:47,2023-05-16 16:01:08,21.374s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:01:08,2023-05-16 16:01:13,5.038s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:01:13,2023-05-16 16:01:15,2.380s,PASSED
"tap(findTestObject(""Productions/Personal Info/Change Password""), 0)",,,,2023-05-16 16:01:15,2023-05-16 16:01:17,1.946s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:01:17,2023-05-16 16:01:22,5.017s,PASSED
closeApplication(),,,,2023-05-16 16:01:22,2023-05-16 16:01:23,0.436s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:01:23,2023-05-16 16:01:23,0.023s,PASSED
,,,,,,,
Test Cases/Production/Profile/Personal Info/Setting - Personal Info,,,,2023-05-16 16:01:23,2023-05-16 16:02:22,58.628s,FAILED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:01:23,2023-05-16 16:01:41,17.779s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:01:41,2023-05-16 16:01:46,5.020s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:01:46,2023-05-16 16:01:49,2.547s,PASSED
"tap(findTestObject(""Productions/Personal Info/Edit Profile""), 0)",,,,2023-05-16 16:01:49,2023-05-16 16:01:50,1.926s,PASSED
