Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KFCKU Apps,,,,2023-07-11 13:32:03,2023-07-11 13:34:50,2m - 46.778s,FAILED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Empty Phone Number and Password,,,,2023-07-11 13:32:04,2023-07-11 13:32:54,50.056s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-07-11 13:32:05,2023-07-11 13:32:33,28.675s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:32:33,2023-07-11 13:32:38,5.040s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 5)",,,,2023-07-11 13:32:38,2023-07-11 13:32:41,2.889s,PASSED
"tap(findTestObject(""Productions/Login/Button - Sign In""), 0)",,,,2023-07-11 13:32:41,2023-07-11 13:32:44,2.436s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:32:44,2023-07-11 13:32:49,5.009s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Please enter your phone number""), 0, STOP_ON_FAILURE)",,,,2023-07-11 13:32:49,2023-07-11 13:32:50,0.849s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Please type your correct password""), 0)",,,,2023-07-11 13:32:50,2023-07-11 13:32:50,0.729s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-07-11 13:32:50,2023-07-11 13:32:53,3.021s,PASSED
closeApplication(),,,,2023-07-11 13:32:53,2023-07-11 13:32:54,0.519s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-07-11 13:32:54,2023-07-11 13:32:54,0.064s,PASSED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Phone Number Not Registered,,,,2023-07-11 13:32:54,2023-07-11 13:33:40,46.460s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-07-11 13:32:54,2023-07-11 13:33:14,19.737s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:33:14,2023-07-11 13:33:19,5.010s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 5)",,,,2023-07-11 13:33:19,2023-07-11 13:33:22,2.806s,PASSED
"tap(findTestObject(""Productions/Login/Enter your phone number""), 0)",,,,2023-07-11 13:33:22,2023-07-11 13:33:24,2.315s,PASSED
"setText(findTestObject(""Productions/Login/Enter your phone number""), ""081211287366"", 0)",,,,2023-07-11 13:33:24,2023-07-11 13:33:27,3.102s,PASSED
pressBack(),,,,2023-07-11 13:33:27,2023-07-11 13:33:28,0.557s,PASSED
"setText(findTestObject(""Productions/Login/Type your password""), ""Pass123"", 0)",,,,2023-07-11 13:33:28,2023-07-11 13:33:30,2.340s,PASSED
"tap(findTestObject(""Productions/Login/Button - Sign In""), 0)",,,,2023-07-11 13:33:30,2023-07-11 13:33:31,1.054s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:33:31,2023-07-11 13:33:36,5.016s,PASSED
"waitForElementPresent(findTestObject(""Productions/Login/Your phone number has not been registered""), 0, STOP_ON_FAILURE)",,,,2023-07-11 13:33:36,2023-07-11 13:33:37,0.685s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-07-11 13:33:37,2023-07-11 13:33:40,3.016s,PASSED
closeApplication(),,,,2023-07-11 13:33:40,2023-07-11 13:33:40,0.382s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-07-11 13:33:40,2023-07-11 13:33:40,0.005s,PASSED
,,,,,,,
Test Cases/Production/Login KFCKU Apps/Login Failed - Wrong Password,,,,2023-07-11 13:33:40,2023-07-11 13:34:27,46.394s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-07-11 13:33:41,2023-07-11 13:34:01,19.901s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:34:01,2023-07-11 13:34:06,5.015s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 5)",,,,2023-07-11 13:34:06,2023-07-11 13:34:09,2.904s,PASSED
"tap(findTestObject(""Productions/Login/Enter your phone number""), 0)",,,,2023-07-11 13:34:09,2023-07-11 13:34:11,2.307s,PASSED
"setText(findTestObject(""Productions/Login/Enter your phone number""), ""081211287377"", 0)",,,,2023-07-11 13:34:11,2023-07-11 13:34:13,2.358s,PASSED
pressBack(),,,,2023-07-11 13:34:13,2023-07-11 13:34:14,0.558s,PASSED
"setText(findTestObject(""Productions/Login/Type your password""), ""passk209"", 0)",,,,2023-07-11 13:34:14,2023-07-11 13:34:16,2.330s,PASSED
"tap(findTestObject(""Productions/Login/Button - Sign In""), 0)",,,,2023-07-11 13:34:16,2023-07-11 13:34:17,1.063s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-11 13:34:17,2023-07-11 13:34:22,5.029s,PASSED
